Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
Surface antigen-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0200 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Surface antigen-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0210 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Surface antigen-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0900 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Surface antigen-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_1215 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
T-complex protein 1 subunit gamma OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1220 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;1 ;1
Transaldolase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0760 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Transitional endoplasmic reticulum ATPase_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1370 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Transketolase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_24_2060 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Transmembrane 9 superfamily member OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_3660 PE=3 SV=1 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;1
Trypanothione reductase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0350 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1
Tryparedoxin OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1160 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Tubulin alpha chain OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_0280 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Ubiquitin carboxyl-terminal hydrolase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_24_0420 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Ubiquitin-conjugating enzyme-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1580 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Ubiquitinyl hydrolase 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2300 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein (Calcium/calmodulin-dependent protein kinase_putative) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_24_1730 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein LmxM_30_0440_1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LmxM_30_0440_1 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_01_0010 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_01_0770 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_02_0550 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_02_0570 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_03_0690 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_03_0960 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0130 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0220 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0230 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0320 PE=3 SV=1 ;0 ;0 ;1 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0030 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0920 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0980 PE=4 SV=1 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_0930 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_1100 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_0110 PE=3 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_0940 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1240 PE=4 SV=1 ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2050 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2100 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_09_0340 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_10_0219 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_11_1030 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1080 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1310 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1320 PE=4 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1470 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_0560 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0470 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0500 PE=4 SV=1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0900 PE=4 SV=1 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0170 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0860 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_1030 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_1280 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_18_0700 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_0190 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_0570 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_1160 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_1290 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_0360 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1040 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1220 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1230 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1270 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_1555 PE=4 SV=1 ;1 ;0 ;1 ;0 ;0 ;0 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_22_0010 PE=4 SV=1 ;1 ;1 ;0 ;0 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_22_0630 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0640 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0840 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0980 PE=4 SV=1 ;1 ;1 ;1 ;0 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0990 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1000 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1020 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1035 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1490 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_1310 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_1620 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_1750 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_2020 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_2410 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_0380 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1440 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1500 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1730 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1960 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_2680 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1440 PE=3 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1640 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1730 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_28_0560 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0660 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0930 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_1220 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0680 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0720 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_1240 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_1840 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2115 PE=4 SV=1 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2190 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2590 PE=4 SV=1 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2810 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_0020 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_1260 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_1810 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_2160 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_3210 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_3930 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_0210 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_1035 PE=4 SV=1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2440 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2910 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2920 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2930 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2940 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2960 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2980 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_3010 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0190 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0460 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_1470 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_1520 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_2020 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_2270 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_2580 PE=4 SV=1 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_1050 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_1620 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_2320 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_2380 PE=4 SV=1 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_2790 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_0310 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_0750 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1400 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1520 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_2440 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_2840 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_4140 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_4370 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_4460 PE=4 SV=1 ;0 ;1 ;1 ;0 ;0 ;1 ;1 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_5140 PE=4 SV=1 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_5150 PE=3 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
