Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
Mitochondrial processing peptidase_ beta subunit_putative_metallo-peptidase_ Clan ME_ Family M16 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_1380 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Myosin heavy chain kinase c-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_0680 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
NADH:flavin oxidoreductase/NADH oxidase_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_1130 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Nucleobase transporter OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1210 PE=4 SV=1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0
Nucleoside diphosphate kinase OS=Leishmania amazonensis OX=5659 PE=1 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Obg-like ATPase 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_2330 PE=3 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;1
Oligopeptidase B OS=Leishmania amazonensis OX=5659 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
p-glycoprotein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0990 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
p-glycoprotein-like protein (Abc transporter-like protein) (Multidrug resistance protein-like protein) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_2670 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Palmitoyltransferase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1430 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Paraflagellar rod protein 2C OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_1430 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Peptidyl-prolyl cis-trans isomerase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_0910 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Peptidylprolyl isomerase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_1530 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
